Name,Title,Tags,Info_Attack,Info_Defense,Info_Magic,Info_Difficulty,Blurb,Image_Full,Image_Sprite,Key,ID
Ashe,the Frost Archer,"Marksman, Support",7,3,2,4,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Ashe.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,22,Ashe
Aurelion Sol,The Star Forger,Mage,2,3,8,7,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/AurelionSol.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,136,AurelionSol
Aurora,the Witch Between Worlds,"Mage, Assassin",3,4,8,5,"From the moment she was born, Aurora navigated life with a unique ability to move between the spirit and material realms. Determined to learn more about the spirit realm's inhabitants, she left her home to further her research and happened upon a...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Aurora.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,893,Aurora
Azir,the Emperor of the Sands,"Mage, Marksman",6,3,8,9,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Azir.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,268,Azir
Bard,the Wandering Caretaker,"Support, Mage",4,4,5,9,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Bard.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,432,Bard
Bel'Veth,the Empress of the Void,Fighter,4,2,7,10,"A nightmarish empress created from the raw material of an entire devoured city, Bel'Veth is the end of Runeterra itself... and the beginning of a monstrous reality of her own design. Driven by epochs of repurposed history, knowledge, and memories from...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Belveth.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,200,Belveth
Blitzcrank,the Great Steam Golem,"Tank, Support",4,8,5,4,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Blitzcrank.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,53,Blitzcrank
Brand,the Burning Vengeance,"Mage, Support",2,2,9,4,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Brand.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,63,Brand
Braum,the Heart of the Freljord,"Tank, Support",3,9,4,3,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Braum.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,201,Braum
Briar,the Restrained Hunger,"Fighter, Assassin",9,5,3,3,"A failed experiment by the Black Rose, Briar's uncontrollable bloodlust required a special pillory to focus her frenzied mind. After years of confinement, this living weapon broke free from her restraints and unleashed herself into the world. Now she's...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Briar.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,233,Briar
Caitlyn,the Sheriff of Piltover,Marksman,8,2,2,6,"Renowned as its finest peacekeeper, Caitlyn Kiramman is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Caitlyn.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,51,Caitlyn
Camille,the Steel Shadow,"Fighter, Assassin",8,6,3,4,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Camille.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,164,Camille
Cassiopeia,the Serpent's Embrace,Mage,2,3,9,10,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Cassiopeia.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,69,Cassiopeia
Cho'Gath,the Terror of the Void,"Tank, Mage",3,7,7,5,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Chogath.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,31,Chogath
Corki,the Daring Bombardier,"Marksman, Mage",8,3,6,6,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Corki.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,42,Corki
Darius,the Hand of Noxus,"Fighter, Tank",9,5,1,2,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Darius.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,122,Darius
Diana,Scorn of the Moon,"Fighter, Assassin",7,6,8,4,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Diana.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,131,Diana
Dr. Mundo,the Madman of Zaun,"Tank, Fighter",5,7,6,5,"Utterly mad, tragically homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. Now a self-proclaimed physician, he was once a patient of Zaun's most infamous asylum. After ""curing"" the...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/DrMundo.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,36,DrMundo
Draven,the Glorious Executioner,Marksman,9,3,1,8,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Draven.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,119,Draven
Ekko,the Boy Who Shattered Time,"Assassin, Mage",5,3,7,8,"A prodigy from the rough streets of Zaun, Ekko is able to manipulate time to twist any situation to his advantage. He uses his own invention, the Z-Drive, to explore the branching possibilities of reality, crafting the perfect moment to seemingly...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Ekko.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion0.png,245,Ekko
Elise,the Spider Queen,"Assassin, Mage",6,5,7,9,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Elise.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,60,Elise
Evelynn,Agony's Embrace,"Assassin, Mage",4,2,7,10,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Evelynn.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,28,Evelynn
Ezreal,the Prodigal Explorer,"Marksman, Mage",7,2,6,7,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Ezreal.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,81,Ezreal
Fiddlesticks,the Ancient Fear,"Mage, Support",2,3,9,9,"Something has awoken in Runeterra. Something ancient. Something terrible. The ageless horror known as Fiddlesticks stalks the edges of mortal society, drawn to areas thick with paranoia where it feeds upon terrorized victims. Wielding a jagged scythe...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Fiddlesticks.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,9,Fiddlesticks
Fiora,the Grand Duelist,"Fighter, Assassin",10,4,2,3,"The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Fiora.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,114,Fiora
Fizz,the Tidal Trickster,"Assassin, Fighter",6,4,7,6,"Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Fizz.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,105,Fizz
Galio,the Colossus,"Tank, Mage",1,10,6,5,"Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Galio.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,3,Galio
Gangplank,the Saltwater Scourge,Fighter,7,6,4,9,"As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Gangplank.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,41,Gangplank
Garen,The Might of Demacia,"Fighter, Tank",7,7,1,5,"A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Garen.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,86,Garen
Gnar,the Missing Link,"Fighter, Tank",6,5,5,8,"Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Gnar.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,150,Gnar
Gragas,the Rabble Rouser,"Fighter, Mage",4,7,6,5,"Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster who's always on the lookout for new ways to raise everyone's spirits. Hailing from parts unknown, he searches for ingredients among the unblemished wastes of the Freljord to help him...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Gragas.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,79,Gragas
Graves,the Outlaw,Marksman,8,5,3,3,"Malcolm Graves is a renowned mercenary, gambler, and thief—a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Graves.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,104,Graves
Gwen,The Hallowed Seamstress,Fighter,7,4,5,5,"A former doll transformed and brought to life by magic, Gwen wields the very tools that once created her. She carries the weight of her maker's love with every step, taking nothing for granted. At her command is the Hallowed Mist, an ancient and...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Gwen.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,887,Gwen
Hecarim,the Shadow of War,"Fighter, Tank",8,6,4,6,"Hecarim is a spectral fusion of man and beast, cursed to ride down the souls of the living for all eternity. When the Blessed Isles fell into shadow, this proud knight was obliterated by the destructive energies of the Ruination, along with all his...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Hecarim.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,120,Hecarim
Heimerdinger,the Revered Inventor,"Mage, Support",2,6,8,8,"The eccentric Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors the world has ever known. As the longest serving member of the Council of Piltover, he saw the best and the worst of the city's unending desire for...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Heimerdinger.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,74,Heimerdinger
Hwei,the Visionary,"Mage, Support",7,1,8,9,"Hwei is a brooding painter who creates brilliant art in order to confront Ionia's criminals and comfort their victims. Beneath his melancholy roils a torn, emotional mind—haunted by both the vibrant visions of his imagination and the gruesome memories...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Hwei.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,910,Hwei
Illaoi,the Kraken Priestess,"Fighter, Tank",8,6,3,4,"Illaoi's powerful physique is dwarfed only by her indomitable faith. As the prophet of the Great Kraken, she uses a huge, golden idol to rip her foes' spirits from their bodies and shatter their perception of reality. All who challenge the “Truth Bearer...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Illaoi.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,420,Illaoi
Irelia,the Blade Dancer,"Fighter, Assassin",7,4,5,5,"The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Irelia.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,39,Irelia
Ivern,the Green Father,"Support, Mage",3,5,7,7,"Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Ivern.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,427,Ivern
Janna,the Storm's Fury,"Support, Mage",3,5,7,7,"Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Janna.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,40,Janna
Jarvan IV,the Exemplar of Demacia,"Fighter, Tank",6,8,3,5,"Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/JarvanIV.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,59,JarvanIV
Jax,Grandmaster at Arms,Fighter,7,5,7,5,"Unmatched in both his skill with unique armaments and his biting sarcasm, Jax is the last known weapons master of Icathia. After his homeland was laid low by its own hubris in unleashing the Void, Jax and his kind vowed to protect what little remained...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Jax.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,24,Jax
Jayce,the Defender of Tomorrow,"Marksman, Fighter",8,4,3,7,"Jayce Talis is a brilliant inventor who, along with his friend Viktor, made the first great discoveries in the field of hextech. Celebrated across Piltover, he tries to live up to his reputation as ""the Man of Progress,"" but often struggles with the...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Jayce.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,126,Jayce
Jhin,the Virtuoso,"Marksman, Mage",10,2,6,6,"Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Jhin.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,202,Jhin
Jinx,the Loose Cannon,Marksman,9,2,4,6,"An unhinged and impulsive criminal from the undercity, Jinx is haunted by the consequences of her past—but that doesn't stop her from bringing her own chaotic brand of pandemonium to Piltover and Zaun. She uses her arsenal of DIY weapons to devastating...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Jinx.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,222,Jinx
K'Sante,the Pride of Nazumah,"Tank, Fighter",8,8,7,9,"Defiant and courageous, K'Sante battles colossal beasts and ruthless Ascended to protect his home of Nazumah, a coveted oasis amid the sands of Shurima. But after a falling-out with his former partner, K'Sante realizes that in order to become a warrior...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/KSante.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion2.png,897,KSante
Kai'Sa,Daughter of the Void,"Marksman, Mage",8,5,3,6,"Claimed by the Void when she was only a child, Kai'Sa managed to survive through sheer tenacity and strength of will. Her experiences have made her a deadly hunter and, to some, the harbinger of a future they would rather not live to see. Having entered...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Kaisa.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,145,Kaisa
Kalista,the Spear of Vengeance,Marksman,8,2,4,7,"A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Kalista.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,429,Kalista
Karma,the Enlightened One,"Mage, Support",1,7,8,5,"No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Karma.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,43,Karma
Karthus,the Deathsinger,Mage,2,2,10,7,"The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Karthus.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,30,Karthus
Kassadin,the Void Walker,"Assassin, Mage",3,5,8,8,"Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribes—until the day his village was...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Kassadin.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion1.png,38,Kassadin
Katarina,the Sinister Blade,"Assassin, Mage",4,3,9,8,"Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Katarina.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion2.png,55,Katarina
Kayle,the Righteous,"Mage, Marksman",6,6,7,7,"Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many years—until Kayle became disillusioned...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Kayle.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion2.png,10,Kayle
Kayn,the Shadow Reaper,"Fighter, Assassin",10,6,1,8,"A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destiny—to one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Kayn.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion2.png,141,Kayn
Kennen,the Heart of the Tempest,Mage,6,4,7,4,"More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Kennen.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion2.png,85,Kennen
Kha'Zix,the Voidreaver,Assassin,9,4,3,6,"The Void grows, and the Void adapts—in none of its myriad spawn are these truths more apparent than Kha'Zix. Evolution drives the core of this mutating horror, born to survive and to slay the strong. Where it struggles to do so, it grows new, more...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Khazix.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion2.png,121,Khazix
Kindred,The Eternal Hunters,Marksman,8,2,2,4,"Separate, but never parted, Kindred represents the twin essences of death. Lamb's bow offers a swift release from the mortal realm for those who accept their fate. Wolf hunts down those who run from their end, delivering violent finality within his...",https://ddragon.leagueoflegends.com/cdn/15.13.1/img/champion/Kindred.png,https://ddragon.leagueoflegends.com/cdn/15.13.1/img/sprite/champion2.png,203,Kindred
